@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
0.477612,0.16,0.153846,0.080808,0.2,8
0.253731,0.12,0.346154,0.181818,0.2,1
0.298507,0.1,0.134615,0.141414,0.2,13
0.358209,0.24,0.269231,0.161616,0.4,28
0.223881,0.12,0.288462,0.161616,0.2,1
0.343284,0.28,0.288462,0.161616,0.2,14
0.268657,0.14,0.480769,0.252525,0.2,1
0.328358,0.12,0.307692,0.171717,0.4,18
0.19403,0.2,0.288462,0.151515,0.2,13
0.283582,0.42,0.442308,0.242424,0.2,19
0.61194,0.22,0.230769,0.181818,0.2,13
0.253731,0.22,0.326923,0.181818,0,1
0.283582,0.24,0.576923,0.313131,0.2,14
0.238806,0.26,0.326923,0.171717,0.2,17
0.238806,0.3,0.326923,0.171717,1,28
0.343284,0.22,0.25,0.131313,0.2,1
0.074627,0.12,0.192308,0.151515,0.2,6
0.149254,0.26,0.288462,0.151515,1,12
0.208955,0.26,0.384615,0.20202,1,13
0.149254,0.3,0.326923,0.171717,0.2,20
0.179104,0.24,0.326923,0.171717,0.4,13
0.238806,0.12,0.326923,0.181818,0.2,1
0.089552,0.22,0.403846,0.212121,0.4,16
0.164179,0.16,0.269231,0.232323,0.4,12
0.089552,0.24,0.326923,0,0.4,13
0.358209,0.1,0.173077,0.111111,0.4,11
0.074627,0.14,0.288462,0,0.4,7
0.179104,0.18,0.442308,0.232323,0.2,16
0.38806,0.24,0.288462,0.121212,0.2,15
0.179104,0.22,0.230769,0.10101,0.2,12
0.074627,0.24,0.307692,0,0.2,15
0.298507,0.1,0.211538,0.171717,0.4,26
0.119403,0.2,0.25,0.161616,0.4,12
0.402985,0.24,0.25,0.181818,0.4,28
0.059701,0.1,0.326923,0.171717,0.4,19
0.208955,0.2,0.230769,0.171717,0.6,?
0.253731,0.2,0.211538,0.191919,0.2,12
0.208955,0.24,0.288462,0.151515,0.4,25
0.179104,0.24,0.307692,0.161616,0.2,15
0.164179,0.2,0.269231,0.181818,0.4,17
0.164179,0.1,0.25,0.151515,0.4,23
0.164179,0.2,0.192308,0.212121,0.4,14
0.537313,0.14,0.288462,0.070707,0.2,7
0.179104,0.08,0.326923,0.171717,0.2,11
